date,close_spy,close_gspc,vix,rate_10y
1996-07-05,39.4525032043457,657.4400024414062,16.09,7.06
1996-07-06,39.4525032043457,657.4400024414062,16.09,7.06
1996-07-07,39.4525032043457,657.4400024414062,16.09,7.06
1996-07-08,39.29269790649414,652.5399780273438,16.42,7.05
1996-07-09,39.4525032043457,654.75,15.49,7.0
1996-07-10,39.612327575683594,656.0599975585938,15.51,6.95
1996-07-11,38.81329345703125,645.6699829101562,17.81,6.9
1996-07-12,38.84148788452149,646.1900024414062,17.09,6.85
1996-07-13,38.84148788452149,646.1900024414062,17.09,6.85
1996-07-14,38.84148788452149,646.1900024414062,17.09,6.85
1996-07-15,37.69468688964844,629.7999877929688,20.11,6.89
1996-07-16,37.78867721557617,628.3699951171875,20.1,6.84
1996-07-17,38.23988342285156,634.0700073242188,19.22,6.83
1996-07-18,38.76630401611328,643.5599975585938,17.93,6.72
1996-07-19,38.484283447265625,638.72998046875,17.26,6.78
1996-07-20,38.484283447265625,638.72998046875,17.26,6.78
1996-07-21,38.484283447265625,638.72998046875,17.26,6.78
1996-07-22,38.202266693115234,633.77001953125,20.41,6.84
1996-07-23,37.71347427368164,626.8699951171875,21.55,6.8
1996-07-24,37.78867721557617,626.6500244140625,21.44,6.87
1996-07-25,38.12706756591797,631.1699829101562,19.39,6.87
1996-07-26,38.33388900756836,635.9000244140625,17.45,6.85
1996-07-27,38.33388900756836,635.9000244140625,17.45,6.85
1996-07-28,38.33388900756836,635.9000244140625,17.45,6.85
1996-07-29,37.910884857177734,630.9099731445312,20.09,6.93
1996-07-30,38.27750778198242,635.260009765625,20.53,6.89
1996-07-31,38.55948257446289,639.9500122070312,19.46,6.8
1996-08-01,39.19871139526367,650.02001953125,18.76,6.65
1996-08-02,40.04468536376953,662.489990234375,16.19,6.51
1996-08-03,40.04468536376953,662.489990234375,16.19,6.51
1996-08-04,40.04468536376953,662.489990234375,16.19,6.51
1996-08-05,39.80971145629883,660.22998046875,17.36,6.53
1996-08-06,39.931907653808594,662.3800048828125,16.93,6.54
1996-08-07,40.03530502319336,664.1599731445312,16.24,6.55
1996-08-08,39.96951675415039,662.5900268554688,16.04,6.56
1996-08-09,39.83791732788086,662.0999755859375,15.77,6.5
1996-08-10,39.83791732788086,662.0999755859375,15.77,6.5
1996-08-11,39.83791732788086,662.0999755859375,15.77,6.5
1996-08-12,40.12931442260742,665.77001953125,15.57,6.49
1996-08-13,39.80971145629883,660.2000122070312,16.41,6.57
1996-08-14,39.95071029663086,662.0499877929688,15.96,6.58
1996-08-15,39.875484466552734,662.280029296875,15.46,6.62
1996-08-16,40.21391677856445,665.2100219726562,14.81,6.56
1996-08-17,40.21391677856445,665.2100219726562,14.81,6.56
